Source,Target,Type,Weight
1134,18303,Directed,1.0
1134,121347,Directed,1.0
1134,237919,Directed,1.0
1134,279122,Directed,1.0
1134,816971,Directed,1.0
1134,1039342,Directed,1.0
1134,1061782,Directed,1.0
1134,1061918,Directed,1.0
1134,1061928,Directed,1.0
1134,1163476,Directed,1.0
1513,203241,Directed,1.0
1513,309776,Directed,1.0
1513,362517,Directed,1.0
1513,497562,Directed,1.0
1513,978876,Directed,1.0
1513,987583,Directed,1.0
1513,1026895,Directed,1.0
1513,1060579,Directed,1.0
1513,1061472,Directed,1.0
1513,1064311,Directed,1.0
1513,1174967,Directed,1.0
1513,1178750,Directed,1.0
1513,1179036,Directed,1.0
1513,1179153,Directed,1.0
1513,1179322,Directed,1.0
1513,1179605,Directed,1.0
1513,1179882,Directed,1.0
1513,1181014,Directed,1.0
1513,1184536,Directed,1.0
1513,1362325,Directed,1.0
1513,1387256,Directed,1.0
1513,1387565,Directed,1.0
1513,1499696,Directed,1.0
1513,1613676,Directed,1.0
1513,1641659,Directed,1.0
1513,1643167,Directed,1.0
1513,1684420,Directed,1.0
3754,6389,Directed,1.0
3754,279122,Directed,1.0
3754,1162890,Directed,1.0
3754,1174967,Directed,1.0
3754,1184537,Directed,1.0
4500,6112,Directed,1.0
4500,7847,Directed,1.0
4500,7856,Directed,1.0
4500,12453,Directed,1.0
4500,43344,Directed,1.0
4500,55116,Directed,1.0
4500,119820,Directed,1.0
4500,227544,Directed,1.0
4500,408761,Directed,1.0
4500,497562,Directed,1.0
4500,503953,Directed,1.0
4500,512395,Directed,1.0
4500,777573,Directed,1.0
4500,846596,Directed,1.0
4500,867493,Directed,1.0
4500,926275,Directed,1.0
4500,978876,Directed,1.0
4500,987583,Directed,1.0
4500,1039672,Directed,1.0
4500,1062707,Directed,1.0
4500,1089353,Directed,1.0
4500,1167495,Directed,1.0
4500,1233963,Directed,1.0
4500,1235091,Directed,1.0
4500,1283944,Directed,1.0
4500,1283958,Directed,1.0
4500,1387565,Directed,1.0
4500,1537348,Directed,1.0
4500,1576642,Directed,1.0
4500,1609236,Directed,1.0
4500,1641659,Directed,1.0
4500,1655802,Directed,1.0
4500,1680965,Directed,1.0
5343,6341,Directed,1.0
5343,9227,Directed,1.0
5343,171130,Directed,1.0
5343,174556,Directed,1.0
5343,321940,Directed,1.0
5343,457043,Directed,1.0
5343,535544,Directed,1.0
5343,1039346,Directed,1.0
5604,4500,Directed,1.0
5657,5935,Directed,1.0
5657,5998,Directed,1.0
5657,6345,Directed,1.0
5698,4500,Directed,1.0
5698,5764,Directed,1.0
5698,6340,Directed,1.0
5698,7862,Directed,1.0
5698,8000,Directed,1.0
5698,8412,Directed,1.0
5698,846596,Directed,1.0
5698,1090200,Directed,1.0
5698,1104695,Directed,1.0
5709,6389,Directed,1.0
5709,6613,Directed,1.0
5742,1650273,Directed,1.0
5764,5985,Directed,1.0
5764,6295,Directed,1.0
5764,7287,Directed,1.0
5764,7423,Directed,1.0
5764,7779,Directed,1.0
5764,9931,Directed,1.0
5764,12569,Directed,1.0
5764,1650273,Directed,1.0
5768,4500,Directed,1.0
5768,5764,Directed,1.0
5768,1095715,Directed,1.0
5930,5985,Directed,1.0
5930,6463,Directed,1.0
5930,1184538,Directed,1.0
5935,459249,Directed,1.0
5935,1409704,Directed,1.0
5935,1529299,Directed,1.0
5985,5764,Directed,1.0
5985,5998,Directed,1.0
5985,867493,Directed,1.0
5985,926275,Directed,1.0
5998,5985,Directed,1.0
5998,6341,Directed,1.0
5998,6463,Directed,1.0
5998,459249,Directed,1.0
5998,846596,Directed,1.0
5998,896828,Directed,1.0
5998,1464928,Directed,1.0
6059,6389,Directed,1.0
6074,5935,Directed,1.0
6074,5985,Directed,1.0
6074,6580,Directed,1.0
6074,465829,Directed,1.0
6074,519419,Directed,1.0
6074,843414,Directed,1.0
6074,846596,Directed,1.0
6074,1118496,Directed,1.0
6074,1169041,Directed,1.0
6074,1655802,Directed,1.0
6112,5764,Directed,1.0
6112,5985,Directed,1.0
6112,5998,Directed,1.0
6112,6345,Directed,1.0
6112,6389,Directed,1.0
6112,6613,Directed,1.0
6112,7885,Directed,1.0
6112,8496,Directed,1.0
6112,8504,Directed,1.0
6112,60349,Directed,1.0
6112,66725,Directed,1.0
6112,598215,Directed,1.0
6112,648814,Directed,1.0
6112,824590,Directed,1.0
6112,846596,Directed,1.0
6112,867493,Directed,1.0
6112,1168735,Directed,1.0
6112,1233963,Directed,1.0
6112,1464928,Directed,1.0
6112,1655802,Directed,1.0
6120,6112,Directed,1.0
6120,6296,Directed,1.0
6120,6580,Directed,1.0
6120,9479,Directed,1.0
6120,509544,Directed,1.0
6120,544110,Directed,1.0
6264,6584,Directed,1.0
6264,9227,Directed,1.0
6264,9371,Directed,1.0
6264,19440,Directed,1.0
6264,121347,Directed,1.0
6264,164045,Directed,1.0
6264,846596,Directed,1.0
6264,1169041,Directed,1.0
6264,1233963,Directed,1.0
6264,1337998,Directed,1.0
6264,1457593,Directed,1.0
6275,5709,Directed,1.0
6275,5998,Directed,1.0
6275,6340,Directed,1.0
