Id,Label,names,pageranks
1134,,Joshua Alba,0.000019
18303,,United States Air Force,0.000987
121347,,World War II,0.009845
237919,,Mississippi,0.000563
279122,,United States,0.016444
816971,,Science fiction,0.00091
1039342,,Daily Mail,0.000829
1061782,,Married and maiden names,0.000125
1061918,,2011 in film,0.000064
1061928,,2010 in film,0.00012
1163476,,Television,0.001792
1513,,X Japan,0.00002
203241,,Vancouver,0.000732
309776,,Seattle,0.000783
362517,,Japan,0.004373
497562,,Hong Kong,0.001636
978876,,Paris,0.002958
987583,,France,0.005824
1026895,,Piano,0.00089
1060579,,Los Angeles Times,0.001567
1061472,,Hollywood,0.001126
1064311,,DVD,0.001061
1174967,,Los Angeles,0.002582
1178750,,Kiss (band),0.00013
1179036,,Punk rock,0.000746
1179153,,The Beatles,0.001163
1179322,,Compact Disc,0.000507
1179605,,Supergroup (music),0.000128
1179882,,Atlantic Records,0.000364
1181014,,Drum kit,0.000503
1184536,,Programming (music),0.000032
1362325,,So Paulo,0.000542
1387256,,Grant Park (Chicago),0.000154
1387565,,Chicago,0.002649
1499696,,Violin,0.000578
1613676,,Toronto,0.001767
1641659,,Buenos Aires,0.000488
1643167,,Argentina,0.002088
1684420,,Mexico,0.002851
3754,,Jamie White,0.000018
6389,,Cancer,0.000639
1162890,,Danny Bonaduce,0.000033
1184537,,MTV,0.0008
4500,,Water,0.000995
6112,,Biology,0.000858
7847,,Electrolysis,0.000245
7856,,Potassium,0.000447
12453,,Wastewater,0.00014
43344,,Islam,0.00365
55116,,Bible,0.00121
119820,,Atlantic Ocean,0.002349
227544,,Ice hockey,0.001822
408761,,Aquifer,0.000109
503953,,Desert,0.000601
512395,,Tide,0.00027
777573,,Rotterdam,0.000373
846596,,Plant,0.001043
867493,,Earth,0.002197
926275,,NASA,0.001542
1039672,,Hamlet,0.000342
1062707,,Time (magazine),0.001701
1089353,,Density,0.000399
1167495,,Central Intelligence Agency,0.001599
1233963,,Agriculture,0.00178
1235091,,Phytoplankton,0.000097
1283944,,Sea level,0.000375
1283958,,Drainage basin,0.000733
1537348,,University of Washington,0.00018
1576642,,Sri Lanka,0.001047
1609236,,Montreal,0.001238
1655802,,China,0.003388
1680965,,Atmosphere,0.000258
5343,,Bipolar disorder,0.00009
6341,,HIV,0.000517
9227,,Food and Drug Administration,0.00013
171130,,Mythology,0.000215
174556,,Ancient Rome,0.00225
321940,,The CW,0.00025
457043,,Linguistics,0.000738
535544,,Oxford University Press,0.004139
1039346,,BBC,0.005431
5604,,Bacterial capsule,0.000018
5657,,Trypanosoma brucei,0.000041
5935,,DNA sequencing,0.000062
5998,,Genome,0.000358
6345,,Immune system,0.000381
5698,,Oxidative phosphorylation,0.000024
5764,,Amino acid,0.000738
6340,,Malaria,0.000623
7862,,Copper,0.001268
8000,,Pesticide,0.000431
8412,,Rotenone,0.000104
1090200,,Arthur Harden,0.000022
1104695,,John Wiley & Sons,0.000437
5709,,Liposome,0.000075
6613,,Biochemistry,0.000333
5742,,Industrial fermentation,0.000018
1650273,,Soybean,0.000412
5985,,RNA,0.000437
6295,,Catabolism,0.000097
7287,,Urea,0.000329
7423,,Alkylimino-de-oxo-bisubstitution,0.000097
7779,,Nitrogen,0.00068
9931,,Racemic mixture,0.000137
12569,,Lantibiotics,0.000097
5768,,Protein folding,0.000039
1095715,,List of software for molecular mechanics modeling,0.000035
5930,,Artificial gene synthesis,0.000018
6463,,Science (journal),0.000635
1184538,,The Guardian,0.003029
459249,,Belgium,0.00211
1409704,,Harvard University,0.00153
1529299,,University of Cambridge,0.000806
896828,,Germany,0.005726
1464928,,Species,0.00101
6059,,Fluorescence in situ hybridization,0.000018
6074,,Cloning,0.000223
6580,,Embryo,0.000242
465829,,New South Wales,0.000896
519419,,Philippines,0.002031
843414,,Shrub,0.00022
1118496,,India,0.005821
1169041,,Soviet Union,0.004372
7885,,Plant physiology,0.000055
8496,,Anatomy,0.000264
8504,,Pathology,0.000128
60349,,Middle Ages,0.003221
66725,,Psychology,0.000726
598215,,Sociology,0.000697
648814,,Public Library of Science,0.000077
824590,,Essay,0.000214
1168735,,Egypt,0.00265
6120,,Regeneration (biology),0.000029
6296,,Stem cell,0.000319
9479,,Myocardial infarction,0.000359
509544,,Anatomical terms of location,0.000115
544110,,University of Leeds,0.000058
6264,,Phage therapy,0.00002
6584,,Biofilm,0.000049
9371,,Meningitis,0.000229
19440,,Cold War,0.002582
164045,,Georgia (country),0.000861
1337998,,Patent,0.000462
1457593,,Russia,0.004105
6275,,DNA vaccination,0.000018
8308,,AIDS,0.000676
59751,,Translation,0.000355
1108353,,Holy See,0.001051
1205354,,Roman Catholic,0.001901
1218878,,Kyoto University,0.00021
9155,,Permethrin,0.000042
10051,,Shivering,0.000042
36896,,Charles Louis Alphonse Laveran,0.000042
121348,,World War I,0.006366
168957,,Greece,0.002167
244646,,Massachusetts,0.001635
833394,,Endemism,0.000832
1090227,,Imperial College London,0.000242
1118620,,Kolkata,0.00049
1168717,,Cuba,0.001582
1232167,,Havana,0.000397
1362343,,Brazil,0.002898
1441393,,Indonesia,0.001933
1655582,,People's Republic of China,0.003326
8306,,Sexually transmitted disease,0.000114
8311,,Sexual intercourse,0.000273
117480,,San Francisco,0.001677
244859,,Boston,0.001723
303904,,New York,0.003171
504001,,Chimpanzee,0.000369
1168723,,Haiti,0.000527
1383396,,South Africa,0.002225
6314,,B cell,0.000083
9561,,Ciclosporin,0.000046
9566,,Obesity,0.000364
10233,,Plant disease resistance,0.000063
1537748,,University of South Carolina,0.000107
6907,,Cervix,0.000149
9576,,List of oncology-related terms,0.000068
9600,,Mesothelioma,0.000072
36453,,Jonathan K. Pritchard,0.000087
824431,,Harper's Magazine,0.000261
8953,,MDMA,0.000099
35367,,"Daniel E. Koshland, Jr.",0.000086
148256,,Prince of Asturias Awards,0.000124
647862,,Peer review,0.000147
697817,,Technology,0.000979
926225,,Apollo program,0.000945
6516,,Timeline of immunology,0.000018
12285,,Ernst Haeckel,0.000247
6908,,Uterus,0.000256
6752,,Mumps,0.00005
504658,,Monotreme,0.000148
1055792,,English language,0.005872
7022,,Abdominal pregnancy,0.000018
1403809,,Abortion,0.000384
7759,,Liquid-liquid extraction,0.000035
15388,,Metal,0.000401
7770,,Flux (metallurgy),0.000061
